Id,Id2,Geography,2010,2011,2012,2013,2014,2015,2016,2017,2018
0500000US47001,47001,"Anderson County, Tennessee",75105,75170,75191,75268,75139,75485,75583,76187,76482
0500000US47003,47003,"Bedford County, Tennessee",45077,45240,45271,45613,46288,46922,47402,48138,49038
0500000US47005,47005,"Benton County, Tennessee",16511,16488,16414,16360,16173,16184,16058,15959,16184
0500000US47007,47007,"Bledsoe County, Tennessee",12884,12909,12853,13848,14419,14489,14615,14730,14755
0500000US47009,47009,"Blount County, Tennessee",123199,123659,123905,124865,125839,126869,128259,129900,131349
0500000US47011,47011,"Bradley County, Tennessee",99086,99851,101072,101786,102795,103714,104233,105317,106727
0500000US47013,47013,"Campbell County, Tennessee",40735,40567,40478,40217,39891,39683,39652,39626,39583
0500000US47015,47015,"Cannon County, Tennessee",13798,13724,13803,13705,13612,13743,13897,14168,14462
0500000US47017,47017,"Carroll County, Tennessee",28454,28536,28661,28600,28370,27968,27899,27833,28020
0500000US47019,47019,"Carter County, Tennessee",57348,57369,57268,56930,56282,56374,56473,56476,56351
0500000US47021,47021,"Cheatham County, Tennessee",39126,38978,39225,39340,39611,39573,39735,40285,40439
0500000US47023,47023,"Chester County, Tennessee",17195,17128,17054,17083,17112,17106,17122,17135,17276
0500000US47025,47025,"Claiborne County, Tennessee",32215,32088,31748,31617,31541,31535,31597,31635,31756
0500000US47027,47027,"Clay County, Tennessee",7849,7765,7724,7710,7645,7691,7684,7691,7717
0500000US47029,47029,"Cocke County, Tennessee",35639,35403,35455,35327,35205,35068,35150,35481,35774
0500000US47031,47031,"Coffee County, Tennessee",52772,52916,53149,53299,53522,54092,54399,54941,55700
0500000US47033,47033,"Crockett County, Tennessee",14588,14557,14608,14609,14653,14592,14458,14465,14328
0500000US47035,47035,"Cumberland County, Tennessee",56197,56529,56900,57341,57851,58137,58506,59005,59673
0500000US47037,47037,"Davidson County, Tennessee",627753,635827,649402,660456,670180,680884,687430,689006,692587
0500000US47039,47039,"Decatur County, Tennessee",11717,11684,11636,11672,11683,11595,11707,11725,11706
0500000US47041,47041,"DeKalb County, Tennessee",18690,18767,18865,19147,19251,19308,19460,19846,20138
0500000US47043,47043,"Dickson County, Tennessee",49685,49921,50111,50132,50473,51327,51908,52785,53446
0500000US47045,47045,"Dyer County, Tennessee",38316,38110,38181,38090,37811,37775,37570,37403,37320
0500000US47047,47047,"Fayette County, Tennessee",38428,38568,38673,38827,39040,39231,39615,40065,40507
0500000US47049,47049,"Fentress County, Tennessee",17920,17994,17887,17910,17838,17859,17938,18120,18217
0500000US47051,47051,"Franklin County, Tennessee",40960,40819,40673,41185,41272,41320,41493,41584,41890
0500000US47053,47053,"Gibson County, Tennessee",49730,49828,49624,49332,49375,49215,49123,49118,49045
0500000US47055,47055,"Giles County, Tennessee",29413,29322,28964,28807,28824,28967,29156,29385,29503
0500000US47057,47057,"Grainger County, Tennessee",22721,22750,22688,22739,22861,22844,23089,23124,23145
0500000US47059,47059,"Greene County, Tennessee",68833,69097,68698,68330,68467,68521,68511,68759,69087
0500000US47061,47061,"Grundy County, Tennessee",13725,13587,13591,13448,13374,13335,13264,13334,13346
0500000US47063,47063,"Hamblen County, Tennessee",62508,62829,62701,63047,62979,63375,63665,64111,64569
0500000US47065,47065,"Hamilton County, Tennessee",337221,341098,345739,349074,350683,353769,357858,361132,364286
0500000US47067,47067,"Hancock County, Tennessee",6802,6699,6660,6626,6624,6579,6588,6584,6549
0500000US47069,47069,"Hardeman County, Tennessee",27171,26849,26546,26283,25930,25782,25477,25401,25220
0500000US47071,47071,"Hardin County, Tennessee",26054,25869,25962,25927,25802,25754,25740,25783,25776
0500000US47073,47073,"Hawkins County, Tennessee",56873,56532,56414,56582,56372,56251,56389,56470,56530
0500000US47075,47075,"Haywood County, Tennessee",18812,18537,18247,18211,18173,17985,17807,17596,17335
0500000US47077,47077,"Henderson County, Tennessee",27787,28011,28014,27947,27990,27969,27765,27726,27847
0500000US47079,47079,"Henry County, Tennessee",32396,32405,32370,32230,32239,32134,32245,32420,32358
0500000US47081,47081,"Hickman County, Tennessee",24647,24360,24191,24206,24443,24378,24660,24848,25063
0500000US47083,47083,"Houston County, Tennessee",8451,8347,8404,8275,8219,8123,8100,8173,8263
0500000US47085,47085,"Humphreys County, Tennessee",18558,18399,18285,18243,18146,18143,18367,18449,18486
0500000US47087,47087,"Jackson County, Tennessee",11623,11532,11534,11544,11521,11526,11594,11677,11758
0500000US47089,47089,"Jefferson County, Tennessee",51713,51903,52240,52120,52388,52981,53122,53732,54012
0500000US47091,47091,"Johnson County, Tennessee",18286,18205,18147,17994,17932,17833,17761,17641,17778
0500000US47093,47093,"Knox County, Tennessee",432947,436744,440757,444347,447892,451161,455650,460932,465289
0500000US47095,47095,"Lake County, Tennessee",7828,7794,7721,7702,7670,7573,7516,7459,7411
0500000US47097,47097,"Lauderdale County, Tennessee",27719,27688,27668,27573,27354,26916,25280,26108,25825
0500000US47099,47099,"Lawrence County, Tennessee",41964,42067,42074,41925,42211,42450,42963,43327,43734
0500000US47101,47101,"Lewis County, Tennessee",12174,12146,11942,11994,11897,11884,11893,12022,12086
0500000US47103,47103,"Lincoln County, Tennessee",33381,33380,33373,33495,33442,33607,33555,33833,34117
0500000US47105,47105,"Loudon County, Tennessee",48700,49118,49758,50330,50565,50909,51348,52175,53054
0500000US47107,47107,"McMinn County, Tennessee",52169,52319,52376,52345,52555,52469,52660,52895,53285
0500000US47109,47109,"McNairy County, Tennessee",26061,26055,26122,26031,26028,25864,25803,25989,25832
0500000US47111,47111,"Macon County, Tennessee",22237,22450,22484,22632,22917,23052,23311,23892,24265
0500000US47113,47113,"Madison County, Tennessee",98249,98050,98507,98729,98104,97578,97535,97586,97605
0500000US47115,47115,"Marion County, Tennessee",28220,28096,28215,28310,28358,28383,28351,28418,28575
0500000US47117,47117,"Marshall County, Tennessee",30683,30842,30917,31076,31242,31543,31944,32934,33683
0500000US47119,47119,"Maury County, Tennessee",81171,81485,81991,83582,85370,87405,89546,92220,94340
0500000US47121,47121,"Meigs County, Tennessee",11794,11668,11669,11651,11701,11790,11955,12056,12306
0500000US47123,47123,"Monroe County, Tennessee",44615,44927,45094,45238,45392,45655,45879,46098,46357
0500000US47125,47125,"Montgomery County, Tennessee",173158,176503,184688,184176,188964,192469,194538,200015,205950
0500000US47127,47127,"Moore County, Tennessee",6330,6370,6306,6277,6296,6255,6284,6363,6411
0500000US47129,47129,"Morgan County, Tennessee",22019,21996,21891,21661,21686,21485,21718,21514,21579
0500000US47131,47131,"Obion County, Tennessee",31820,31666,31303,31013,30822,30574,30536,30403,30267
0500000US47133,47133,"Overton County, Tennessee",22089,22156,22160,21966,21944,22062,21957,21990,22068
0500000US47135,47135,"Perry County, Tennessee",7938,7861,7848,7878,7817,7848,7868,7962,8064
0500000US47137,47137,"Pickett County, Tennessee",5079,5102,5043,5010,5074,5133,5089,5063,5082
0500000US47139,47139,"Polk County, Tennessee",16815,16743,16611,16634,16686,16771,16791,16765,16898
0500000US47141,47141,"Putnam County, Tennessee",72558,73042,73492,74108,74946,75071,75973,77366,78843
0500000US47143,47143,"Rhea County, Tennessee",31854,32076,32332,32491,32558,32372,32425,32742,33044
0500000US47145,47145,"Roane County, Tennessee",54160,53926,53565,53116,52823,52728,52862,52932,53140
0500000US47147,47147,"Robertson County, Tennessee",66333,66702,66723,67245,67904,68466,69184,70154,71012
0500000US47149,47149,"Rutherford County, Tennessee",263702,269016,274142,281062,288703,297949,307422,316677,324890
0500000US47151,47151,"Scott County, Tennessee",22227,22102,22136,21997,21988,21889,21869,21985,22039
0500000US47153,47153,"Sequatchie County, Tennessee",14127,14252,14346,14531,14638,14635,14747,14752,14876
0500000US47155,47155,"Sevier County, Tennessee",89921,91101,92219,93314,94512,95386,96370,97277,97892
0500000US47157,47157,"Shelby County, Tennessee",928448,933457,939533,939189,938576,937953,936759,935973,935764
0500000US47159,47159,"Smith County, Tennessee",19125,19131,19103,19040,19026,19228,19444,19650,19942
0500000US47161,47161,"Stewart County, Tennessee",13349,13230,13316,13299,13218,13197,13162,13368,13561
0500000US47163,47163,"Sullivan County, Tennessee",156748,156886,156388,156288,156504,156310,156238,156951,157668
0500000US47165,47165,"Sumner County, Tennessee",161211,163631,165820,168698,172243,175247,179143,183584,187149
0500000US47167,47167,"Tipton County, Tennessee",61064,61255,61518,61566,61594,61535,61210,61311,61581
0500000US47169,47169,"Trousdale County, Tennessee",7874,7810,7787,7804,7997,8045,9955,10855,11012
0500000US47171,47171,"Unicoi County, Tennessee",18284,18300,18238,18063,17919,17791,17673,17755,17761
0500000US47173,47173,"Union County, Tennessee",19116,19189,19101,19051,18987,19160,19225,19407,19688
0500000US47175,47175,"Van Buren County, Tennessee",5569,5535,5631,5573,5654,5693,5699,5708,5765
0500000US47177,47177,"Warren County, Tennessee",39860,39903,39745,39898,39991,40269,40443,40690,40878
0500000US47179,47179,"Washington County, Tennessee",123376,123862,124775,125369,125753,126116,127186,127613,128607
0500000US47181,47181,"Wayne County, Tennessee",16987,16942,16918,16852,16789,16680,16661,16556,16558
0500000US47183,47183,"Weakley County, Tennessee",35042,34854,34547,34145,33990,33847,33580,33296,33415
0500000US47185,47185,"White County, Tennessee",25822,26011,26019,26176,26234,26367,26449,26744,27107
0500000US47187,47187,"Williamson County, Tennessee",184128,188448,193118,199111,205258,211524,218810,225920,231729
0500000US47189,47189,"Wilson County, Tennessee",114685,116797,119025,121969,125196,128526,132428,136540,140625
